Interactie	Interactors	MI
A1CF	ABCA5	0.21582629
A1CF	ABCD4	0.11751387
A1CF	ABHD17C	0.20199846
A1CF	ACSS3	0.09057609
A1CF	ACTBL2	0.08254276
A1CF	AFDN	0.10344802
A1CF	AKAP12	0.12923053
A1CF	AKT1S1	0.1043187
A1CF	AMT	0.14197354
A1CF	AMT	0.12866719
A1CF	ANKRD36B	0.12492348
A1CF	ANKRD44	0.07994476
A1CF	APBB2	0.12514037
A1CF	ARMC8	0.08025668
A1CF	ATN1	0.09219639
A1CF	B4GALT1	0.14971969
A1CF	BCL7A	0.16727492
A1CF	BRF1	0.2061494
A1CF	C9orf72	0.1260778
A1CF	CD8A	0.11041635
A1CF	CMTM4	0.15795847
A1CF	CYFIP2	0.12684889
A1CF	DUSP2	0.13817238
A1CF	DUSP6	0.0921589
A1CF	EPAS1	0.08815181
A1CF	EPHB1	0.12357774
A1CF	ERBB3	0.09600695
A1CF	FJX1	0.16873057
A1CF	GLUD1	0.17756414
A1CF	GMFG	0.1375739
A1CF	HYKK	0.12217771
A1CF	KCNS3	0.12183497
A1CF	KIAA0930	0.13790726
A1CF	LIF	0.10450354
A1CF	MYO10	0.10576755
A1CF	RAB3A	0.19680787
A1CF	RNF34	0.1191461
A1CF	SORBS1	0.08590221
A1CF	SUSD6	0.14574834
A1CF	TLR4	0.12252463
A1CF	TMEM170B	0.07847439
A1CF	TSC22D1	0.18778519
A1CF	WDR62	0.08254526
ABCA5	AMT	0.15085087
ABCA5	APBB2	0.10148671
ABCA5	BRF1	0.19670927
ABCA5	ZFPM1	0.17084997
ABCB8	AMT	0.22129466
ABCB8	CXCR1	0.22563548
ABCB8	NNT	0.18293891
ABCB8	SHTN1	0.08595599
ABCB8	VWA5A	0.2541504
ABCC8	FAM161B	0.09907827
ABCD4	ZFPM1	0.23486881
